Gene,Log2FoldChange,PValue
TSPAN6,-0.032890605753932656,0.6920005839161232
TNMD,-0.000293823923469827,0.9266052888929054
DPM1,-0.08901187533308397,0.13701247832492722
SCYL3,-0.02580647834936478,0.3905851302056187
FIRRM,-0.00898735697356745,0.8635982551027154
FGR,-0.057827971998779315,0.8643734628107926
CFH,-0.14321305976277143,0.15937784421737453
FUCA2,0.015776196339987614,0.6702813462839454
GCLC,0.021711154935316834,0.8104357751491389
NFYA,-0.015417207516231102,0.6861232434535979
STPG1,0.036093513181146175,0.3218620467065815
NIPAL3,0.25298939162746326,0.0009934355015315936
LAS1L,-0.03814156193247786,0.44150139710567127
ENPP4,-0.04747264878036983,0.6250973433196421
SEMA3F,-0.23733565193947498,0.02740645047043576
CFTR,-0.16480569993300775,0.13588962447312497
ANKIB1,-0.0520189797260997,0.3733542786346845
CYP51A1,-0.1323311991768148,0.004022200586413653
KRIT1,0.06793279717975431,0.5180306721055533
RAD52,0.020427968700318155,0.5808699635822486
BAD,0.026144321360223266,0.5983957179120902
LAP3,0.022995076855310437,0.647236752601184
CD99,0.14692916650088694,0.31184682394755076
HS3ST1,0.02039459094808338,0.8030769451160927
AOC1,0.12173594353076034,0.06236531534791141
WNT16,-0.000293823923469827,0.9266052888929054
HECW1,0.11091065022737912,0.39997579052553534
MAD1L1,0.0014394353172142438,0.9674034812158556
LASP1,0.06816253158387653,0.41779388183458954
SNX11,0.0309495535025337,0.41498784720348425
TMEM176A,-0.041858974730212495,0.6287457425002294
M6PR,0.2548026728934403,0.0003254702962415068
KLHL13,-0.1480403466357214,0.12780380920213916
CYP26B1,-0.011779252410844154,0.8794368365615108
ICA1,-0.11947083241116457,0.08719372487045643
DBNDD1,0.0878636848670018,0.3909370982612288
ALS2,0.025057294766227756,0.5229115566846878
CASP10,0.11957518369918052,0.05580816744737562
CFLAR,-0.1156084438361562,0.1561929596305228
TFPI,-0.019462910979940462,0.85169450470729
NDUFAF7,-0.03180552132454029,0.38472100382480257
RBM5,0.0008096076864929636,0.9899408102374023
MTMR7,0.060858064821234015,0.5110073617331532
SLC7A2,-0.145961035757473,0.0425005582847928
ARF5,-0.012237501781207527,0.8577822722517598
SARM1,-0.009892093473124142,0.8348415213413282
POLDIP2,0.037321477458729824,0.5067014484230711
PLXND1,-0.3271442820817789,0.0502948157367157
AK2,0.13172562147103983,0.15055794208663545
CD38,0.1526791613676548,0.17971454693973915
FKBP4,0.1380441459917079,0.0029030872060391236
KDM1A,0.05090432920358756,0.18429869158583934
RBM6,0.0242663829026446,0.6097816374037617
CAMKK1,-0.030328544181646544,0.4940604758179925
RECQL,0.012276268274514113,0.8118007393182518
VPS50,-0.0024475743017697837,0.9535203247618538
HSPB6,-0.09879547862137161,0.37555989090467823
ARHGAP33,-0.05382761090561816,0.2989067624388177
NDUFAB1,0.02510227076474081,0.4105743372888786
PDK4,0.05540334926234797,0.5100913008794976
