Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),-0.8306408856112137,-2.2803477638727654,0.0,0.0,0.0,5/26,2.75%,KDR;VEGFC;FLT1;VEGFA;FLT4
prerank,Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),-0.812682385154181,-2.0804072385973704,0.0,0.015428105030557603,0.03,6/31,2.75%,KDR;VEGFC;FLT1;VEGFA;SPRY2;FLT4
prerank,Positive Regulation Of Focal Adhesion Assembly (GO:0051894),-0.8140638199832951,-2.023332583692149,0.0,0.04799854898395698,0.11,2/16,0.24%,KDR;VEGFA
prerank,Positive Regulation Of Mitochondrial Fission (GO:0090141),-0.7734840452952512,-1.9937757261204587,0.0,0.053998367606951606,0.16,6/19,11.35%,KDR;DCN;DDHD1;PRKN;MIEF1;MUL1
prerank,Regulation Of Mitochondrial Fission (GO:0090140),-0.7613183504727424,-1.9709370284850674,0.0,0.05554117811000736,0.18,9/26,11.35%,KDR;DCN;DDHD1;LRRK2;PPARG;MAPT;PRKN;MIEF1;MUL1
prerank,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),-0.6988147355082973,-1.9692858585511108,0.0,0.0462843150916728,0.18,4/45,1.24%,NOS3;KDR;VEGFA;THBS1
prerank,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),0.7994891623371153,1.9361910879302773,0.0,0.35582942271217527,0.29,8/15,14.50%,DLGAP5;AURKB;UBE2C;ESPL1;CDC20;BIRC5;CDCA8;ANAPC7
prerank,Neuromuscular Synaptic Transmission (GO:0007274),0.7367592415014195,1.93378912044806,0.0,0.18753172278074104,0.3,3/18,7.03%,RIMBP3C;CHRNA3;RIMBP3B
prerank,Positive Regulation Of Vasculature Development (GO:1904018),-0.6158774938285918,-1.9221585723930126,0.0,0.09109928684710202,0.4,11/95,3.24%,NOS3;KDR;VEGFC;FLT1;VEGFA;THBS1;GATA6;IL1B;CXCL8;CHI3L1;CD34
prerank,Positive Regulation Of Cell-Substrate Junction Organization (GO:0150117),-0.7530521908585983,-1.9194705793656825,0.0,0.08614025308727995,0.42,3/21,5.09%,KDR;VEGFA;PIK3R1
prerank,Calcium-Mediated Signaling Using Intracellular Calcium Source (GO:0035584),-0.8164126743914932,-1.9193736297166197,0.0,0.07771193645021607,0.43,5/17,7.91%,KDR;AZU1;VCAM1;STIMATE;PRNP
prerank,Sprouting Angiogenesis (GO:0002040),-0.6512970410499697,-1.918079072042683,0.0,0.0740549041466765,0.44,6/47,3.47%,KDR;VEGFC;VEGFA;THBS1;FLT4;CDH13
prerank,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),-0.6411357431879421,-1.894628947887266,0.0,0.10472410687408795,0.57,4/52,1.24%,NOS3;KDR;VEGFA;THBS1
prerank,Positive Regulation Of Angiogenesis (GO:0045766),-0.57714506098875,-1.8842323107766525,0.0,0.10971096910618738,0.61,12/110,4.26%,NOS3;KDR;VEGFC;FLT1;VEGFA;THBS1;GATA6;IL1B;CXCL8;CHI3L1;CD34;FUT1
prerank,Positive Regulation Of Kinase Activity (GO:0033674),-0.5652383012214894,-1.883883442975955,0.0,0.10127166379032683,0.61,13/99,5.78%,KDR;FLT1;ROR2;AZU1;INSRR;DDR2;FLT4;LTK;MST1R;LRRK2;CSF1R;EEF1A2;CDKN1A
prerank,Sodium Ion Import Across Plasma Membrane (GO:0098719),-0.7642032937556761,-1.8655443966849599,0.01694915254237288,0.1168127952313647,0.7,7/21,8.20%,SLC5A1;SLC6A1;SLC9A3;SCNN1B;SCNN1A;SLC8A1;SLC9C2
prerank,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),-0.6048856039970798,-1.8611260189000507,0.0,0.11519651756149676,0.71,12/64,8.27%,KDR;FLT1;ROR2;DCN;TGFB2;DDR2;IL18;PIK3AP1;IGF1;NEDD4;PDGFD;NCF1
prerank,Positive Regulation Of Positive Chemotaxis (GO:0050927),-0.8089860246431215,-1.8545182935597748,0.0,0.12149632711564111,0.74,5/15,3.47%,KDR;VEGFC;VEGFA;CXCL8;CDH13
prerank,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),-0.6589161362291952,-1.8511390117832125,0.0,0.11858465043095257,0.75,9/36,7.34%,AZU1;STOX1;SPRY2;PARD3;CEMIP;IRGM;CHI3L1;RIPK2;SPRED1
prerank,Positive Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010800),-0.6890342583965052,-1.837931774681554,0.03636363636363636,0.13942435657244645,0.83,6/24,5.21%,AZU1;STOX1;CEMIP;IRGM;CHI3L1;RIPK2
prerank,Neuromuscular Junction Development (GO:0007528),-0.6887681842925483,-1.8055566346899103,0.017543859649122806,0.19812934881347655,0.94,8/24,12.20%,DOK7;PPFIBP2;LRRK2;CACNB4;NEDD4;GPHN;CACNB1;F2R
prerank,Negative Regulation Of Biomineral Tissue Development (GO:0070168),-0.6920209708137963,-1.8050529215067204,0.0,0.18976569187585848,0.94,1/21,0.01%,NOS3
prerank,Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050),-0.7542158941824658,-1.8021751590623636,0.017241379310344827,0.18905550926334078,0.94,2/16,0.24%,KDR;VEGFA
prerank,Protein Kinase B Signaling (GO:0043491),-0.6955302608634998,-1.7988969783768143,0.0,0.18607229703520983,0.94,6/24,11.61%,KDR;IL1B;IGF1;PIK3R3;MT3;CCL2
prerank,Dopaminergic Neuron Differentiation (GO:0071542),-0.7846550131230802,-1.7973897652244664,0.0,0.18200692021556358,0.94,4/15,10.10%,VEGFA;OTX2;NR4A2;FGF8
prerank,Regulation Of Cytokine Production Involved In Immune Response (GO:0002718),0.6543207845491277,1.7945784867214183,0.025,0.7469212206480796,0.9,9/24,9.50%,FFAR2;SCIMP;CLC;CCR2;IRF5;F2RL1;LILRB1;TRIL;NOD2
prerank,Blood Vessel Endothelial Cell Migration (GO:0043534),-0.7328956269759321,-1.792311269490341,0.0,0.18770861120511748,0.95,2/20,0.24%,KDR;VEGFA
prerank,Blood Vessel Morphogenesis (GO:0048514),-0.6065975414444624,-1.7718676223672805,0.0,0.2262788737815115,0.97,7/50,7.59%,KDR;FLT1;VEGFA;FLT4;CDH2;GLMN;HEY2
prerank,Pulmonary Valve Morphogenesis (GO:0003184),-0.7238998070549258,-1.764214120048145,0.0,0.2385422393186214,0.98,3/18,1.87%,NOS3;TGFB2;SMAD6
prerank,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),-0.5329669326264102,-1.7604709560199876,0.0,0.240373685784737,0.98,21/115,8.99%,KDR;VEGFC;VEGFA;NR4A3;SCN5A;FGF9;HRAS;FLT4;CDH13;PLXNB3;IGF1;REG3A;FZD7;FOXE3;WNT7A;C5AR1;ANG;HPN;PPP1R16B;NELL2;TCF7L2
prerank,Bile Acid And Bile Salt Transport (GO:0015721),0.6443300943445862,1.752527288697713,0.0,0.8895735567804383,0.97,4/20,1.87%,ATP8B1;CEACAM1;SLC10A4;ABCC11
prerank,Regulation Of Myeloid Cell Differentiation (GO:0045637),-0.6332465297522594,-1.7454954365419466,0.0,0.2677878230303926,0.98,9/26,15.04%,MEIS2;MEIS1;HOXB8;LYN;ZBTB16;HOXA5;RBM15;PEX2;PURB
