"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0008152","metabolic process",10672,1682,NA,"2.2e-19"
"2","GO:0044237","cellular metabolic process",9373,1502,NA,"3.3e-18"
"3","GO:0071704","organic substance metabolic process",10197,1606,NA,"5.3e-17"
"4","GO:0044238","primary metabolic process",9539,1514,NA,"2.0e-16"
"5","GO:0006807","nitrogen compound metabolic process",9025,1434,NA,"7.9e-15"
"6","GO:0019222","regulation of metabolic process",6173,1031,NA,"1.2e-14"
"7","GO:0043170","macromolecule metabolic process",8670,1380,NA,"4.7e-14"
"8","GO:0051171","regulation of nitrogen compound metaboli...",5113,870,NA,"1.1e-13"
"9","GO:0031323","regulation of cellular metabolic process",5685,952,NA,"2.1e-13"
"10","GO:0034641","cellular nitrogen compound metabolic pro...",5946,988,NA,"4.1e-13"
