Source,GO.ID,Description,setSize,NES,pvalue,p.adjust,NOM p-val,rank,Significant,leading_edge,core_enrichment,enrichmentScore,Annotated,Expected,classicFisher,name,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,ES,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Bill - clusterProfiler + Emily,GO:0035924,cellular response to vascular endothelial growth factor stimulus,61,-2.327384488,8.44E-09,5.16E-05,0,866,,"tags=20%, list=4%, signal=19%",2322/3592/2324/9270/8828/10253/207/7422/7412/2321/7424/3791,-0.7705728419,,,,prerank,,,,,,,,,-0.8306408856,0,0,5/26,2.75%,KDR;VEGFC;FLT1;VEGFA;FLT4
Bill - clusterProfiler + Emily,GO:0043536,"positive regulation of blood vessel endothelial cell migration, Positive Regulation Of Blood Vessel Endothelial Cell Migration ",54,-2.168813173,4.60E-06,0.007771569796,0,268,,"tags=11%, list=1%, signal=11%",7057/207/7422/7424/3791/4846,-0.7323334565,,,,prerank,,,,,,,,,-0.6988147355,0.04628431509,0.18,4/45,1.24%,NOS3;KDR;VEGFA;THBS1
Bill - clusterProfiler + Emily,GO:0033674,"positive regulation of kinase activity, Positive Regulation Of Kinase Activity ",288,-1.734463782,1.72E-05,0.01318613513,0,2732,,"tags=20%, list=13%, signal=18%",84630/10006/5580/7564/6997/11314/4504/9928/1906/79092/4916/4361/4058/51561/7164/57091/151/653361/5621/894/80310/22924/1136/4137/54465/1026/1917/8754/221938/23328/120892/9370/7189/2322/4486/56892/1116/5871/1908/345611/152/2324/3265/4921/6556/7057/9270/4593/116/50507/2690/219736/146433/207/4920/7422/2321/3791,-0.4697494459,,,,prerank,,,,,,,,,-0.5652383012,0.1012716638,0.61,13/99,5.78%,KDR;FLT1;ROR2;AZU1;INSRR;DDR2;FLT4;LTK;MST1R;LRRK2;CSF1R;EEF1A2;CDKN1A
Bill - clusterProfiler + Emily,GO:0035584,"calcium-mediated signaling using intracellular calcium source, Calcium-Mediated Signaling Using Intracellular Calcium Source",19,-2.082600293,3.90E-05,0.01910128637,,363,,"tags=26%, list=2%, signal=26%",5621/6262/6364/7412/3791,-0.8609348262,,,,,,,,,,,,,,,,,,
Bill - clusterProfiler + Emily,GO:0043535,"regulation of blood vessel endothelial cell migration, Regulation Of Blood Vessel Endothelial Cell Migration",92,-2.021674735,4.37E-05,0.01910128637,,268,,"tags=8%, list=1%, signal=8%",7057/9270/207/7422/7424/3791/4846,-0.6205066292,,,,,,,,,,,,,,,,,,
Marielle - topGO,GO:0008152,metabolic process,,,,,,,1682,,,,10672,NA,2.20E-19,,,,,,,,,,,,,,,
Marielle - topGO,GO:0044237,cellular metabolic process,,,,,,,1502,,,,9373,NA,3.30E-18,,,,,,,,,,,,,,,
Kirill - GenomicSuperSignature,,REACTOME_APOPTOSIS,,-2.645436955,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica - gprofiler2,GO:0070887,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",,,2.54E-05,,,,TRUE,,,,,,,cellular response to chemical stimulus,2683,139,43,21031,0.309352518,0.01602683563,query_1,"['GO:0042221', 'GO:0051716']",,,,,,
Veronica - gprofiler3,GO:0070888,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",,,2.54E-05,,,,TRUE,,,,,,,cellular response to chemical stimulus,1663,139,32,21031,0.2302158273,0.01924233313,query_1,['GO:0042221'],,,,,,
