Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
NOS3,2330.906071279601,-8.094862626869357,0.6585935515166509,-12.291135569469205,1.010760948212903e-34,1.4400311229189231e-30,29.841628121539554
ZNF836,64.9477263400427,-4.391820828283756,0.4522275839003846,-9.71152796652752,2.692698380000384e-22,1.9181436909932733e-18,17.717118862301945
CISH,602.7042085744005,2.324258341944598,0.2516844900920991,9.234809586773029,2.5874581352356454e-20,1.2287838684234082e-16,15.910524498729137
RPS27L,111.27950323389072,-4.596312690523251,0.5302974193948099,-8.667424208416271,4.4200567682609706e-18,1.574313719435351e-14,13.802908719852718
ZNF761,59.93501189249098,5.637856076062063,0.6682288005723649,8.437014494486037,3.2554610506868285e-17,9.276110717827051e-14,13.03263407634988
ADGRE2,76.12990402156424,-6.167012218959674,0.7806850620143251,-7.899487922886006,2.8005156932992e-15,6.6498245137389496e-12,11.177189815406734
PIM1,1739.350183560716,0.989661310882259,0.1261427262048423,7.845567799725169,4.309989106656487e-15,8.772059257504996e-12,11.056898443214248
IRF2,763.3513371225592,0.3350744478361576,0.0462103993789431,7.2510614999973875,4.135178526831766e-13,7.364236058971521e-10,9.132872298730543
PAM,60.897736138436166,-2.6694538737405566,0.3749072156240638,-7.120305404890732,1.0768817515526798e-12,1.704703812707892e-09,8.768351067510595
USO1,166.06564084369458,0.4177332673970306,0.0589693449478146,7.083905506610367,1.4014748903114505e-12,1.9966812762267235e-09,8.699691254620115
MBNL2,611.7620134120308,-0.4558371737221362,0.0659017198902621,-6.916923784101303,4.615562379011143e-12,5.97799247397925e-09,8.223444636053403
FARP1,23.66959514348532,-3.738832842530427,0.5434934338829441,-6.879260372694189,6.016410799282459e-12,7.142983721448099e-09,8.146120339612727
CFAP45,18.262407077799804,-1.0053642239243046,0.1486120897874,-6.765023124044272,1.3328790899362673e-11,1.4607329534093846e-08,7.835429173156279
SDHA,609.9738510734688,-1.8281493933475723,0.2756368164426201,-6.632457220126622,3.30144043412938e-11,3.3596872760743774e-08,7.473701145406568
STIP1,387.1548577500105,0.3779996651030245,0.0577494153881124,6.5455150076001445,5.929070345989449e-11,5.63143101462078e-08,7.24938123165245
EGLN2,376.3893069722686,0.6012814366792294,0.0934365970392032,6.435181243029957,1.2332608230588966e-10,1.0981416841325065e-07,6.95934162284838
QNG1,24.095442364269573,0.7320588543457137,0.1141646949212311,6.412305090035092,1.4333562211678951e-10,1.2012368284105298e-07,6.92037136134628
CISD1,29.89615266234973,0.6229279309596774,0.0993989064045571,6.26694954192291,3.6818939325386215e-10,2.914219047604319e-07,6.535477807545278
ZMPSTE24,168.53414954305308,-3.2501763635177,0.5248693566081106,-6.1923530543323695,5.927260032495301e-10,4.44450914120845e-07,6.352176196231665
PSAT1,24.137799319006657,0.7858026516441001,0.1278878490559772,6.144466870344735,8.023253323180697e-10,5.71536450476777e-07,6.2429560666928126
KIAA0040,278.83820261323353,0.4996839139394433,0.0816702884640218,6.118307200048266,9.457461504587914e-10,6.416212097898286e-07,6.192721288205133
HSD17B2,8.033893272180512,-5.251624327685699,0.8749131250880677,-6.002452331661017,1.943593328127702e-09,1.258653370265244e-06,5.900093856951895
ARL11,6.407615945722344,3.238589813253565,0.5429429012644617,5.964881032077594,2.4481234504351966e-09,1.5164528173195758e-06,5.819171097715023
AAR2,330.4577925314867,-0.3677795547927971,0.0620336093314418,-5.928714430072461,3.053155252140753e-09,1.8124292865520547e-06,5.741738928789702
GBP1,225.71098760376185,0.6496866301148612,0.1111600551607095,5.844605143237624,5.0777124285388794e-09,2.893686758775736e-06,5.5385484829951555
DEF8,17.913454281060268,-2.353793075318908,0.4046043954129816,-5.817517313217469,5.97280774890269e-09,3.272868923023717e-06,5.4850713876487385
VKORC1,249.1190146359657,0.4079439603550606,0.0704874089972778,5.787472772205529,7.145326476912438e-09,3.770350604317463e-06,5.423618262939933
RPP14,60.197461321225525,-0.6097531530975301,0.1058321234905657,-5.761512979108709,8.336325147700009e-09,4.207352345575662e-06,5.375991116380523
FLT1,23.03561717867268,-5.170076040460915,0.8980563578499908,-5.756961682046811,8.564134064834295e-09,4.207352345575662e-06,5.375991116380523
OSER1,185.3454819679633,-0.4436643296310236,0.0772969974700895,-5.739735619131931,9.48244684608496e-09,4.503214007205748e-06,5.346477413476762
CCNT1,318.2124530430316,-0.514671008073778,0.0903908842370539,-5.693837519323644,1.2421529897803396e-08,5.6411142438212105e-06,5.248635104855579
CSK,1763.146687984466,0.3756051546112163,0.0660062198720974,5.690450920216906,1.2670432778990576e-08,5.6411142438212105e-06,5.248635104855579
PER1,2041.7540722787332,-0.8110558698677122,0.143421957953993,-5.655032753965632,1.5581655552678522e-08,6.727025656333662e-06,5.172176915949889
CDK4,129.0710679980346,0.6342192850718367,0.1144365521660544,5.542104101070308,2.9885853563896875e-08,1.2523051638965844e-05,4.902289828595749
PTPN6,876.2221816517575,0.4699270284104048,0.0852498408402483,5.512350800642686,3.5407230756495794e-08,1.441276618822273e-05,4.841252658673222
MR1,39.38862082593344,0.6884478497031474,0.1250626182892542,5.504825175743988,3.6953478970342495e-08,1.4624339302513045e-05,4.834923745331547
ECH1,11.878773180734273,3.927515961459184,0.7172852937145237,5.475528350958102,4.362081133353004e-08,1.635436050181059e-05,4.786366433254974
